config,config_name,problem,size,plan_length,nodes_expanded,memory_mb,runtime_s,success,timeout
ehc,Enforced Hill-Climbing,exp-8x8.pddl,8,,,10.11328125,0.6091933250427246,False,False
ehc,Enforced Hill-Climbing,exp-9x9.pddl,9,,,10.11328125,0.5701472759246826,False,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-2x2.pddl,2,10.0,75.0,9.984375,0.5626802444458008,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-3x3.pddl,3,23.0,144.0,9.984375,0.575045108795166,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-4x4.pddl,4,42.0,420.0,10.1171875,0.5766911506652832,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-5x5.pddl,5,81.0,4941.0,10.375,0.6265852451324463,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-6x6.pddl,6,110.0,12019.0,11.0234375,0.650092363357544,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-7x7.pddl,7,175.0,40868.0,13.4921875,1.1130681037902832,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-8x8.pddl,8,236.0,511567.0,55.70703125,6.814198017120361,True,False
lazy_wastar_3,Lazy Weighted A* (W=3),exp-9x9.pddl,9,301.0,1722591.0,163.8671875,25.143621683120728,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-2x2.pddl,2,10.0,48.0,9.984375,0.5636212825775146,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-3x3.pddl,3,23.0,144.0,9.984375,0.5802435874938965,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-4x4.pddl,4,42.0,432.0,10.1171875,0.5657734870910645,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-5x5.pddl,5,89.0,2405.0,10.1171875,0.553614616394043,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-6x6.pddl,6,120.0,3525.0,10.24609375,0.6016063690185547,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-7x7.pddl,7,177.0,19345.0,11.80859375,0.8449409008026123,True,False
